feature,abs_SRC,SRC,shap_abs_mean,src_rank,shap_rank,rank_delta
operation_hours,0.5338107022078726,0.5338107022078726,117.13942,1.0,1.0,0.0
cop_cooling,0.5281931832795392,-0.5281931832795392,69.70892,2.0,2.0,0.0
cop_heating,0.3684697084441846,-0.3684697084441846,28.560413,3.0,3.0,0.0
dhw_per_person,0.24486962216834926,0.24486962216834926,17.668333,4.0,4.0,0.0
orientation_sin,0.22086399681461652,-0.22086399681461652,0.91635174,5.0,29.0,-24.0
wwr,0.20182979142670293,0.20182979142670293,10.923176,6.0,5.0,1.0
floor_num,0.19002615413450044,-0.19002615413450044,2.181999,7.0,19.0,-12.0
orientation_cos,0.1845246122679343,-0.1845246122679343,0.1167535,8.0,37.0,-29.0
shgc_e,0.16958630478024592,0.16958630478024592,1.7240214,9.0,22.0,-13.0
u_wall,0.16783145318589504,0.16783145318589504,3.678238,10.0,10.0,0.0
u_win_w,0.1373561306488512,0.1373561306488512,3.3653643,11.0,13.0,-2.0
u_roof,0.13637784389084465,0.13637784389084465,3.5246336,12.0,12.0,0.0
footprint_area_m2,0.13411748034046816,-0.13411748034046816,2.5077186,13.0,16.0,-3.0
cool_set,0.125594988263388,-0.125594988263388,2.1432106,14.0,20.0,-6.0
u_win_s,0.11559631749916784,0.11559631749916784,1.6533732,15.0,23.0,-8.0
u_win_n,0.11431202097296715,0.11431202097296715,1.2888865,16.0,25.0,-9.0
dhw_temp,0.10215521832399753,0.10215521832399753,0.35949877,17.0,34.0,-17.0
floor_height,0.09068258320035781,0.09068258320035781,0.783812,18.0,31.0,-13.0
aspect_ratio,0.08608724928158791,-0.08608724928158791,0.9167687,19.0,28.0,-9.0
window_type_3,0.076559696341482,-0.076559696341482,0.07207601,20.0,38.0,-18.0
fresh_air_ach,0.07652716903492562,0.07652716903492562,1.5333943,21.0,24.0,-3.0
boiler_eff,0.07428984601838727,-0.07428984601838727,0.9797558,22.0,26.0,-4.0
shgc_s,0.0633764310493769,0.0633764310493769,3.552723,23.0,11.0,12.0
fan_eff,0.06260459277427362,0.06260459277427362,0.80325794,24.0,30.0,-6.0
wall_thick,0.062398520766850166,-0.062398520766850166,2.5233064,25.0,15.0,10.0
heat_set,0.05633246923520066,0.05633246923520066,2.6482904,26.0,14.0,12.0
insul_thick,0.052910422860551046,0.052910422860551046,2.3350775,27.0,17.0,10.0
roof_insul_thick,0.043250061312572786,-0.043250061312572786,4.0789943,28.0,9.0,19.0
room_area,0.041042153803329796,0.041042153803329796,5.916641,29.0,6.0,23.0
u_ground,0.04017819463447852,0.04017819463447852,5.0682626,30.0,8.0,22.0
light_power,0.03770252583733907,-0.03770252583733907,0.9386112,31.0,27.0,4.0
equip_power,0.03519046953862978,0.03519046953862978,1.7557533,32.0,21.0,11.0
shgc_w,0.024310092120021897,-0.024310092120021897,0.5638154,33.0,33.0,0.0
window_type_2,0.021133073643462032,0.021133073643462032,0.0,34.0,39.0,-5.0
occupancy_density,0.020041130657328453,-0.020041130657328453,0.35062546,35.0,35.0,0.0
room_count,0.01767416960804546,0.01767416960804546,0.59527403,36.0,32.0,4.0
u_win_e,0.015191233059188089,0.015191233059188089,5.8331776,37.0,7.0,30.0
shgc_n,0.01232458481313334,-0.01232458481313334,0.34332603,38.0,36.0,2.0
public_area,0.007782002828599637,0.007782002828599637,2.2993731,39.0,18.0,21.0
