model,search_method,cv_folds,scoring,alpha,l1_ratio,n_iter,subsample,num_leaves,n_estimators,learning_rate,colsample_bytree,best_cv_rmse,min_samples_split,min_samples_leaf,max_features,max_depth,hidden_layer_sizes,activation,polynomial_degree,interaction_only,include_bias,n_polynomial_features,n_neighbors,p,weights,gamma,epsilon,C
Linear,embedded_cv_or_fixed,3,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,
RidgeCV,embedded_cv_or_fixed,3,not_applicable,0.0001,,,,,,,,,,,,,,,,,,,,,,,,
ElasticNetCV,embedded_cv_or_fixed,3,not_applicable,0.028942661247167517,0.9,,,,,,,,,,,,,,,,,,,,,,,
LassoCV,embedded_cv_or_fixed,3,not_applicable,0.11937766417144358,,,,,,,,,,,,,,,,,,,,,,,,
LightGBM,RandomizedSearchCV,3,neg_root_mean_squared_error,,,3.0,0.9,63.0,400.0,0.06333333333333334,0.9,23.128725044272716,,,,,,,,,,,,,,,,
RandomForest,RandomizedSearchCV,3,neg_root_mean_squared_error,,,3.0,,,800.0,,,21.135527996808865,4.0,4.0,,,,,,,,,,,,,,
GB,RandomizedSearchCV,3,neg_root_mean_squared_error,,,3.0,0.9,,200.0,0.019999999999999997,,20.37387089324476,,,,4.0,,,,,,,,,,,,
MLP,RandomizedSearchCV,3,neg_root_mean_squared_error,0.0016681005372000592,,3.0,,,,,,27.608314971881175,,,,,"(64, 32)",relu,,,,,,,,,,
ExtraTrees,RandomizedSearchCV,3,neg_root_mean_squared_error,,,3.0,,,800.0,,,20.940633337374432,4.0,4.0,,,,,,,,,,,,,,
XGBoost,RandomizedSearchCV,3,neg_root_mean_squared_error,,,3.0,0.9,,600.0,0.12111111111111113,0.8,19.854298990174446,,,,5.0,,,,,,,,,,,,
DecisionTree,RandomizedSearchCV,3,neg_root_mean_squared_error,,,3.0,,,,,,23.94196062083834,4.0,8.0,,12.0,,,,,,,,,,,,
Poly2-ElasticNetCV,embedded_cv_or_fixed,3,not_applicable,2.636650898730358,0.9,,,,,,,,,,,,,,2.0,False,False,189.0,,,,,,
Poly3-RidgeCV,embedded_cv_or_fixed,3,not_applicable,0.1,,,,,,,,,,,,,,,3.0,False,False,1329.0,,,,,,
KNN,GridSearchCV,3,neg_root_mean_squared_error,,,,,,,,,27.9230072378799,,,,,,,,,,,7.0,2.0,distance,,,
Poly2-Interaction-RidgeCV,embedded_cv_or_fixed,3,not_applicable,12.689610031679221,,,,,,,,,,,,,,,2.0,True,False,171.0,,,,,,
SVR-RBF,RandomizedSearchCV,3,neg_root_mean_squared_error,,,3.0,,,,,,32.0902059207264,,,,,,,,,,,,,,auto,0.1794736842105263,3.79269019073225
Poly2-RidgeCV,embedded_cv_or_fixed,3,not_applicable,1.1721022975334805,,,,,,,,,,,,,,,2.0,False,False,189.0,,,,,,
