model,train_r2,test_r2,test_rmse,test_mae,test_mape,cv_best_rmse,cv_r2_mean,cv_r2_std,cv_r2_variance,cv_rmse_mean,cv_rmse_std,cv_mae_mean,best_params,generalization_gap
Linear,0.9442998195848766,0.9268837992875908,9.10718528228715,6.514770196812958,0.04593579383351781,,0.8869306580285627,0.030466896138899035,0.0009282317603384609,11.032111234587278,0.8897633957867697,8.296341391353806,None,0.01741602029728584
RidgeCV,0.9442998195710977,0.926883677559943,9.107192863341487,6.51475958557796,0.04593570598310153,,0.8854286553250647,0.03280324445827622,0.0010760528469894294,11.093661343009908,1.003288767491438,8.352607070856884,None,0.0174161420111546
ElasticNetCV,0.9440900843704356,0.9256686624553218,9.182550763291824,6.544217454732138,0.04604806384914347,,0.8853899754665361,0.03425487193720271,0.001173396251434158,11.083339149054389,1.055204174324977,8.368449970393991,None,0.018421421915113867
LassoCV,0.9434981186939904,0.9228033165288274,9.357863054474445,6.76314159934589,0.047462379876945425,,0.8874351444486882,0.03173623903873271,0.0010071888683235823,10.992185793361275,0.9013884326075104,8.234245265318073,None,0.02069480216516295
LightGBM,0.98574791203573,0.7664654916563562,16.27619542641497,11.898801256656037,0.07703225748378972,23.128725044272716,0.4818760639517447,0.26825763851548984,0.0719621606219072,23.128725044272716,3.7957673258560214,18.12818849527225,"{'model__subsample': 0.9, 'model__num_leaves': 63, 'model__n_estimators': 400, 'model__learning_rate': np.float64(0.06333333333333334), 'model__colsample_bytree': 0.9}",0.21928242037937373
RandomForest,0.8953153447181691,0.744312888509413,17.030671910916812,14.213533300927585,0.09713108552626078,21.135527996808865,0.58540556364257,0.10800590645510356,0.011665275829188582,21.135527996808865,0.944971696487556,17.24282857179304,"{'model__n_estimators': 800, 'model__min_samples_split': 4, 'model__min_samples_leaf': 4, 'model__max_features': None, 'model__max_depth': None}",0.15100245620875608
GB,0.9968847515976856,0.7291172932053415,17.529438468147774,15.304133854485164,0.10584497711256828,20.37387089324476,0.609200818811844,0.12098558847296037,0.014637512618148522,20.37387089324476,1.0358960438140001,16.396581010969935,"{'model__subsample': 0.9, 'model__n_estimators': 200, 'model__max_depth': 4, 'model__learning_rate': np.float64(0.019999999999999997)}",0.26776745839234417
MLP,0.9448614268519373,0.7270086515130232,17.59753371529595,14.634355493230013,0.10500392337948368,27.608314971881175,0.2848636258289353,0.21468868373840735,0.04609123092532989,27.608314971881175,1.9490434450977858,22.003592308525555,"{'model__hidden_layer_sizes': (64, 32), 'model__alpha': np.float64(0.0016681005372000592), 'model__activation': 'relu'}",0.21785277533891412
ExtraTrees,0.9034946445076676,0.7194836917667313,17.838421493010973,14.852033719999065,0.10020852697945741,20.940633337374432,0.5980689804933156,0.06536681195737068,0.004272820105470258,20.940633337374432,0.8329962436696002,16.311624497453394,"{'model__n_estimators': 800, 'model__min_samples_split': 4, 'model__min_samples_leaf': 4, 'model__max_features': None, 'model__max_depth': None}",0.18401095274093626
XGBoost,0.9999999998084477,0.7147236553805094,17.989133491730893,14.73973111099715,0.09669501809509584,19.854298990174446,0.6303543178877127,0.11504031753065075,0.013234274657552949,19.854298990174446,1.7823870419862495,15.745169358441153,"{'model__subsample': 0.9, 'model__n_estimators': 600, 'model__max_depth': 5, 'model__learning_rate': np.float64(0.12111111111111113), 'model__colsample_bytree': 0.8}",0.28527634442793826
DecisionTree,0.7897770461100801,0.6691913687900756,19.371612818816946,15.492759787999725,0.1036050913473478,23.94196062083834,0.477656040557012,0.0628746608258849,0.003953222973970066,23.94196062083834,1.4694843935886208,19.17079252097864,"{'model__min_samples_split': 4, 'model__min_samples_leaf': 8, 'model__max_depth': 12}",0.12058567732000458
Poly2-ElasticNetCV,0.7466467873217213,0.6557407934293544,19.761510878985455,16.81315212129582,0.11438281667370902,,0.4574666248507999,0.0292885745541159,0.0008578205994120054,24.532490957092577,2.8869740151088474,18.74677073708339,None,0.09090599389236687
Poly3-RidgeCV,0.9999999877829405,0.5946430144647507,21.443525807235257,17.476158830420477,0.1184327107420583,,0.4314548459240853,0.14137990158467903,0.019988276572093525,24.926071308681333,3.3202954511157374,19.26550669208486,None,0.4053569733181899
KNN,0.9999999999999976,0.4487549012740949,25.006317128620328,21.342385630427568,0.14380665504973805,27.9230072378799,0.28920699067182726,0.09397961339014649,0.0088321677329614,27.9230072378799,1.9004942951988473,22.288390538643835,"{'model__n_neighbors': 7, 'model__p': 2, 'model__weights': 'distance'}",0.5512450987259027
Poly2-Interaction-RidgeCV,0.9836162294081567,0.396717434565963,26.16000070435173,19.023274897456613,0.13391889442263116,,0.1321634796507214,0.1657274435738056,0.027465585553508916,30.905759620699815,4.276603974148499,24.2758736377347,None,0.5868987948421938
SVR-RBF,0.2955035453178708,0.14917420983678564,31.066883362458086,25.203239282576106,0.16961634476129736,32.0902059207264,0.07401017426383416,0.017643946982729832,0.00031130886512938116,32.0902059207264,4.171162433031813,25.876773129981416,"{'model__gamma': 'auto', 'model__epsilon': np.float64(0.1794736842105263), 'model__C': np.float64(3.79269019073225)}",0.14632933548108518
Poly2-RidgeCV,0.9998303941828556,0.11354594454457623,31.710674492174068,23.91363497580682,0.1638811994197579,,0.19272312938918268,0.12014096149443004,0.014433850628806123,29.924358822895073,4.726167677909453,23.73297770197523,None,0.8862844496382793
