electricity_factor,mean_ocei,eui_ocei_pearson_r,top10_overlap_with_baseline,electricity_share,natural_gas_share
0.15,742.5875917863546,0.7757215898067615,1.0,0.004854873949391589,0.026423192699413182
0.17,743.0706712178476,0.7758113652991875,1.0,0.005498631121178797,0.02640609959474284
0.19,743.5537506493405,0.7759007331674086,1.0,0.0061415559412432465,0.02638902859075851
0.21,744.0368300808336,0.77598969449679,1.0,0.006783650022837158,0.026371979644624954
0.23,744.5199095123266,0.7760782503707163,1.0,0.007424914975046409,0.026354952713617562
0.25,745.0029889438197,0.7761664018705863,1.0,0.008065352402803956,0.026337947755121997
0.27,745.4860683753127,0.7762541500758129,1.0,0.008704963906903247,0.026320964726633832
0.29,745.9691478068057,0.7763414960638233,1.0,0.009343751084011528,0.026304003585758195
0.31,746.4522272382989,0.7764284409100524,1.0,0.00998171552668317,0.02628706429020943
0.33,746.9353066697918,0.7765149856879469,1.0,0.010618858823372863,0.02627014679781072
0.35,747.4183861012848,0.7766011314689594,1.0,0.011255182558448826,0.026253251066493774
0.37,747.9014655327777,0.7766868793225497,1.0,0.011890688312205931,0.026236377054298436
0.39,748.3845449642707,0.7767722303161815,1.0,0.012525377660878783,0.026219524719372368
0.41,748.8676243957638,0.7768571855153222,1.0,0.013159252176654753,0.026202694019970697
0.43,749.3507038272568,0.7769417459834401,1.0,0.013792313427686968,0.026185884914455664
0.45,749.8337832587499,0.7770259127820053,1.0,0.014424562978107226,0.026169097361296287
0.47,750.3168626902428,0.7771096869704863,1.0,0.015056002388038886,0.02615233131906801
0.49,750.799942121736,0.7771930696063496,1.0,0.01568663321360972,0.026135586746452374
0.51,751.283021553229,0.7772760617450588,1.0,0.016316457006964647,0.02611886360223668
0.53,751.766100984722,0.7773586644400726,1.0,0.016945475316278533,0.026102161845313623
0.55,752.2491804162152,0.7774408787428448,1.0,0.017573689685768817,0.026085481434680997
0.57,752.7322598477082,0.7775227057028218,1.0,0.018201101655708166,0.026068822329441323
0.59,753.215339279201,0.7776041463674429,1.0,0.018827712762437103,0.026052184488801537
0.61,753.6984187106941,0.7776852017821388,1.0,0.019453524538376475,0.026035567872072642
0.63,754.181498142187,0.77776587299033,1.0,0.020078538512040008,0.026018972438669397
0.65,754.6645775736802,0.777846161033427,1.0,0.020702756208046718,0.02600239814810996
0.67,755.1476570051731,0.7779260669508286,1.0,0.021326179147133317,0.025985844960015582
0.69,755.6307364366661,0.778005591779922,1.0,0.021948808846166557,0.025969312834110265
0.71,756.1138158681592,0.7780847365560808,1.0,0.022570646818155564,0.025952801730220437
0.73,756.5968952996523,0.778163502312664,1.0,0.02319169457226403,0.025936311608274636
0.75,757.0799747311453,0.7782418900810175,1.0,0.023811953613822476,0.02591984242830317
