eui_kwh_m2,OCEI_kgco2e_m2,rank_eui,rank_ocei,rank_shift,abs_rank_shift
184.5968224943965,58.05815390344925,102.0,99.0,-3.0,3.0
179.4082135405537,52.96218831350993,98.0,86.0,-12.0,12.0
128.27685754974064,47.16591858041337,41.0,49.0,8.0,8.0
125.53440396589882,46.387738417281206,37.0,44.0,7.0,7.0
137.86908769325763,49.478269229950925,53.0,66.0,13.0,13.0
141.19871143002098,49.48335053700285,58.0,67.0,9.0,9.0
144.14970634031857,48.322028604297344,63.0,57.0,-6.0,6.0
161.3898589725406,48.36160585266474,85.0,58.0,-27.0,27.0
181.89668394645335,56.49119088496967,100.0,96.0,-4.0,4.0
120.61466793126122,45.42871166987338,35.0,40.0,5.0,5.0
202.38859098583467,60.94397444571804,109.0,107.0,-2.0,2.0
149.5309019964008,48.402371829366366,72.0,59.0,-13.0,13.0
142.98163345635754,47.62866798309964,61.0,52.0,-9.0,9.0
151.0571019496827,53.42282478272065,75.0,90.0,15.0,15.0
193.35351173535383,65.31925747684807,105.0,115.0,10.0,10.0
92.40724095757196,37.86405575809565,6.0,6.0,0.0,0.0
121.26993964549074,40.95803970065811,36.0,21.0,-15.0,15.0
167.64707201427066,50.591209362073975,90.0,71.0,-19.0,19.0
192.025476644465,58.880907869252376,104.0,101.0,-3.0,3.0
118.31831915893991,43.94945085330994,32.0,35.0,3.0,3.0
148.15740478414884,51.310259316852516,69.0,79.0,10.0,10.0
125.7710533868057,43.860957191284164,38.0,34.0,-4.0,4.0
167.0122974302004,54.20968327083119,89.0,93.0,4.0,4.0
138.7043878135311,50.637446370241655,54.0,73.0,19.0,19.0
159.637733125483,50.62047134597113,82.0,72.0,-10.0,10.0
160.64340416297887,56.651250993494614,84.0,97.0,13.0,13.0
117.56721602683818,42.1297679025322,30.0,27.0,-3.0,3.0
172.8860124155809,58.42504104469473,92.0,100.0,8.0,8.0
173.38334536955014,59.35208661197736,93.0,102.0,9.0,9.0
196.3605223029593,62.16588743802128,107.0,110.0,3.0,3.0
158.2233597294381,55.13152421356569,79.0,94.0,15.0,15.0
148.1923723297323,45.53042539432754,70.0,41.0,-29.0,29.0
112.78034285273289,48.87933601357241,25.0,64.0,39.0,39.0
201.37028518174813,62.97275849316401,108.0,112.0,4.0,4.0
106.12178015694587,38.83948367289157,18.0,11.0,-7.0,7.0
76.8368893898102,32.44058260444576,1.0,1.0,0.0,0.0
175.551827225985,57.099616662511124,96.0,98.0,2.0,2.0
98.74302165123916,41.3663781157099,9.0,22.0,13.0,13.0
126.45417915213928,43.72037187054107,39.0,33.0,-6.0,6.0
127.51923500546177,43.66415689729985,40.0,32.0,-8.0,8.0
140.98074846594477,46.472651978844446,57.0,45.0,-12.0,12.0
214.5462141723992,61.95285509813156,114.0,109.0,-5.0,5.0
194.87726159988432,59.84951845774065,106.0,104.0,-2.0,2.0
224.2484412875509,64.2937082531227,116.0,114.0,-2.0,2.0
208.66629304340304,62.27601055451757,112.0,111.0,-1.0,1.0
99.77645355187728,38.24204557869978,12.0,7.0,-5.0,5.0
